owner,farm_name,mill,in_country_partner,country_of_origin,altitude_low_meters,altitude_high_meters,altitude_mean_meters,number_of_bags,bag_weight,species,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,category_one_defects,category_two_defects,color,total_cup_points
racafe & cia s.c.a,NA,NA,Almacafé,Colombia,1600,1950,1775,275,70 kg,Arabica,Caturra,Washed / Wet,7.33,7.42,7.58,7.42,7.67,7.5,10,10,10,0.11,2,2,Green,82.58
nucoffee,fazenda chamusca,NA,NUCOFFEE,Brazil,900,1050,975,42,60 kg,Arabica,Mundo Novo,NA,7.58,7.5,7.33,7.75,7.5,7.5,10,10,10,0,0,4,NA,82.58
ipanema coffees,fazenda capoeirnha,dry mill,Brazil Specialty Coffee Association,Brazil,890,890,890,320,60 kg,Arabica,Bourbon,Natural / Dry,7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,0.11,0,4,Green,82.5
sanjava coffee,various,dry hull,Specialty Coffee Association of Indonesia,Indonesia,1250,1250,1250,2,1 kg,Arabica,Other,Washed / Wet,7.83,7.75,7.25,7.5,7.42,7.33,10,10,10,0.11,0,5,Green,82.5
elsy reyes,las cuchillas,cigrah s.a de c.v.,Instituto Hondureño del Café,Honduras,1400,1400,1400,275,69 kg,Arabica,Caturra,Washed / Wet,7.58,7.58,7.33,7.5,7.5,7.5,10,10,10,0.1,0,4,Green,82.5
juan luis alvarado romero,la esperanza,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1219.2,1219.2,1219.2,50,69 kg,Arabica,Bourbon,Washed / Wet,7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,0.1,0,2,Green,82.5
doi tung development project,NA,NA,Specialty Coffee Association,Thailand,800,800,800,1,1 kg,Arabica,NA,Washed / Wet,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,0.12,0,0,Green,82.5
松澤宏樹 koju matsuzawa,NA,NA,Specialty Coffee Institute of Asia,Thailand,1400,1500,1450,50,20 kg,Arabica,Caturra,Washed / Wet,7.33,7.5,7.5,7.5,7.67,7.5,10,10,10,0.11,0,0,NA,82.5
shah plantations,shah plantation,shah plantation,Africa Fine Coffee Association,"Tanzania, United Republic Of",1600,1600,1600,37,60 kg,Arabica,Other,Washed / Wet,7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,0.12,0,1,Green,82.5
amkeni gourmet coffee group,amkeni,amkeni gourmet coffee group,Africa Fine Coffee Association,"Tanzania, United Republic Of",NA,NA,NA,5,60 kg,Arabica,Other,Washed / Wet,7.75,7,7.42,7.58,7.58,7.58,10,10,10,0.12,0,3,Bluish-Green,82.5
lusso lab,finca san el retiro,NA,Specialty Coffee Association,Mexico,1500,1700,1600,2,2 kg,Arabica,Other,Washed / Wet,7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,0,0,1,Green,82.5
ipanema coffees,fazenda rio verde,ipanema coffees,Specialty Coffee Association,Brazil,1260,1260,1260,69,60 kg,Arabica,Yellow Bourbon,Semi-washed / Semi-pulped,7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,0.11,0,0,Bluish-Green,82.5
juan luis alvarado romero,la union monte verde,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1310.64,1310.64,1310.64,250,69 kg,Arabica,Bourbon,Washed / Wet,7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,0.12,0,4,Green,82.5
exportadora de cafe condor s.a,NA,trilladora boananza,Almacafé,Colombia,1750,1750,1750,250,70 kg,Arabica,Caturra,Washed / Wet,7.5,7.5,7.42,7.42,7.58,7.58,10,10,10,0.11,0,1,Green,82.5
juan luis alvarado romero,la esperanza y anexos,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1310.64,1310.64,1310.64,250,69 kg,Arabica,Bourbon,Washed / Wet,7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,0.11,0,0,Green,82.5
saul m. hernandez ramirez,la pagua,el mavodo,AMECAFE,Mexico,1679,1679,1679,10,1 kg,Arabica,Typica,Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,0.13,0,10,None,82.5
enrique mitre lopez,caltuchoco,"zapotitlan de mendez, puebla",AMECAFE,Mexico,1100,1100,1100,10,1 kg,Arabica,Typica,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,0.12,0,5,Green,82.5
enrique eduardo lopez aguilar,santa cruz - pante don manuel,NA,AMECAFE,Mexico,1650,1650,1650,28,1 kg,Arabica,Typica,Semi-washed / Semi-pulped,7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,0.11,0,2,NA,82.5
juan luis alvarado romero,various,NA,Asociacion Nacional Del Café,Guatemala,NA,NA,NA,275,1 kg,Arabica,Caturra,Natural / Dry,7.67,7.33,7.33,7.33,7.5,7.83,10,10,10,0.11,0,5,Green,82.5
jacques pereira carneiro,fazenda do sertao,cocarive,NUCOFFEE,Brazil,1250,1250,1250,300,60 kg,Arabica,Bourbon,Semi-washed / Semi-pulped,7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,0,0,4,Blue-Green,82.5
racafe & cia s.c.a,NA,NA,Almacafé,Colombia,1600,1950,1775,275,70 kg,Arabica,Caturra,Washed / Wet,7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,0.11,1,3,Green,82.5
kona pacific farmers cooperative,NA,NA,Specialty Coffee Association,United States (Hawaii),NA,NA,NA,7,100 lbs,Arabica,Hawaiian Kona,Washed / Wet,7.33,7.42,7.33,7.75,7.42,7.67,10,10,10,0.12,2,3,Green,82.5
adam kline,NA,NA,Specialty Coffee Association,Guatemala,1600,1600,1600,245,1,Arabica,NA,NA,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10,10,0.01,1,14,NA,82.5
brian beck,carrillo cooperativa,cohorsil,Specialty Coffee Association,Honduras,1500,1500,1500,1,2 kg,Arabica,Other,Washed / Wet,7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,0.12,0,6,Green,82.42
juan luis alvarado romero,piamonte,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1700,1700,1700,50,69 kg,Arabica,Bourbon,Washed / Wet,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,0.1,0,2,Green,82.42
juan luis alvarado romero,las merceditas,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1700,1700,1700,50,69 kg,Arabica,Bourbon,Washed / Wet,7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,0.12,0,0,Green,82.42
juan luis alvarado romero,la esmeralda,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,157.8864,157.8864,157.8864,20,69 kg,Arabica,Bourbon,Washed / Wet,7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,0.12,0,0,Green,82.42
juan luis alvarado romero,providencia,beneficio 2000,Asociacion Nacional Del Café,Guatemala,NA,NA,NA,275,69 kg,Arabica,Caturra,Washed / Wet,7.5,7.42,7.08,7.75,7.67,7.5,10,10,10,0.11,0,3,Green,82.42
racafe & cia s.c.a,NA,bachue,Almacafé,Colombia,1600,1600,1600,43,70 kg,Arabica,Caturra,Washed / Wet,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,0.11,0,1,Green,82.42
yunnan coffee exchange,menglian gao sanlin coffee factory,menglian gao sanlin coffee factory,Yunnan Coffee Exchange,China,1600,1600,1600,3,60 kg,Arabica,Catimor,Washed / Wet,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,0.1,0,0,Green,82.42
bourbon specialty coffees,NA,dinamo armazens gerais ltda,Brazil Specialty Coffee Association,Brazil,NA,NA,NA,300,60 kg,Arabica,NA,NA,7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,0.11,0,0,Green,82.42
gladness obed pallangyo,nguruma,NA,Africa Fine Coffee Association,"Tanzania, United Republic Of",2285,2285,2285,10,60 kg,Arabica,Ruiru 11,Washed / Wet,7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,0.13,0,7,Green,82.42
ipanema coffees,rio verde,ipanema comercial e exportadora sa,Brazil Specialty Coffee Association,Brazil,1,1,1,320,2 kg,Arabica,Yellow Bourbon,Natural / Dry,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,0,0,0,Green,82.42
the coffee source inc.,several,ixchel,Specialty Coffee Association of Costa Rica,Guatemala,1400,1400,1400,250,1 kg,Arabica,Caturra,Washed / Wet,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,0.1,0,0,Green,82.42
productos y servicios chilindron s.a. de c.v.,los llanitos,la yerba,AMECAFE,Mexico,1296,1296,1296,10,1 kg,Arabica,Typica,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,0.11,0,0,Green,82.42
nucoffee,fazenda serra negra,NA,NUCOFFEE,Brazil,1000,1000,1000,39,60 kg,Arabica,Catuai,Semi-washed / Semi-pulped,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,0.12,0,1,Blue-Green,82.42
dane loraas,NA,NA,Specialty Coffee Association,Peru,NA,NA,NA,320,5 lbs,Arabica,NA,Washed / Wet,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10,10,0,0,3,Green,82.42
ipanema coffees,fazenda rio verde,ipanema coffees,Specialty Coffee Association,Brazil,1260,1260,1260,220,60 kg,Arabica,Yellow Bourbon,Natural / Dry,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,0,0,0,Green,82.42
manuel herrera juarez,finca los barreales,finca los barreales,AMECAFE,Mexico,1170,1170,1170,10,1 kg,Arabica,Bourbon,Washed / Wet,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,0.12,0,0,Green,82.42
brent hall,NA,NA,Specialty Coffee Association,Honduras,NA,NA,NA,1,2 kg,Arabica,NA,Washed / Wet,7.25,7.67,7.42,7.17,7.75,7.5,10,10,10,0.09,0,2,None,82.42
racafe & cia s.c.a,NA,NA,Almacafé,Colombia,1600,1950,1775,250,70 kg,Arabica,Caturra,Washed / Wet,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,0.11,0,9,Green,82.42
nestor mendez gomez,cipresal,"angel albino corzo, chiapas",AMECAFE,Mexico,1560,1560,1560,49,1 kg,Arabica,Typica,Washed / Wet,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,0.12,0,5,Green,82.42
jesus salazar velasco,pante san pedro,"san pedro cotzilnam, municipio de aldama, chiapas",AMECAFE,Mexico,1400,1400,1400,20,1 kg,Arabica,Typica,Semi-washed / Semi-pulped,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,0.13,0,2,Green,82.42
"el equimite, cafetal biodinámico","cafetal el equimite, rancho agroecológico","cafetal el equimite, rancho agroecológico",AMECAFE,Mexico,1300,1300,1300,35,1 kg,Arabica,Typica,Washed / Wet,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,0.14,0,9,Green,82.42
manuel herrera juarez,los barreales 1112lbcat_s110312,"los barreales, teocelo, veracruz",AMECAFE,Mexico,1170,1170,1170,10,1 kg,Arabica,Caturra,Washed / Wet,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,0.13,0,1,Green,82.42
dario cesar galeana sanchez,corral del diablo lote 1,corral del diablo lote 1,AMECAFE,Mexico,1300,1300,1300,74,1 kg,Arabica,Typica,Washed / Wet,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,0.11,0,0,Green,82.42
jose daniel cobilt castro,cañada fria,huatusco,AMECAFE,Mexico,1350,1350,1350,26,1 kg,Arabica,Pacamara,Washed / Wet,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,0.14,0,6,Green,82.42
alvaro quiros perez,finca nextlalpa,xicotepec de juarez,AMECAFE,Mexico,1150,1150,1150,10,1 kg,Arabica,Caturra,Washed / Wet,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,0.11,0,0,Green,82.42
olivia hernandez virves,santa rosa,NA,AMECAFE,Mexico,1250,1250,1250,1,1 kg,Arabica,Bourbon,Washed / Wet,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,0.13,0,4,NA,82.42
finca las nieves,fln mirador,finca las nieves,AMECAFE,Mexico,1450,1450,1450,10,1 kg,Arabica,Typica,Washed / Wet,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,0.12,0,0,Bluish-Green,82.42
carcafe ltda ci,NA,NA,Almacafé,Colombia,442,442,442,250,70 kg,Arabica,Caturra,Natural / Dry,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,0,0,2,NA,82.42
nucoffee,santa mariana,NA,NUCOFFEE,Brazil,NA,NA,NA,51,60 kg,Arabica,Arusha,Natural / Dry,7.75,7.5,7.42,7.42,7.5,7.42,10,10,10,0.11,0,2,Blue-Green,82.42
exportadora de cafe condor s.a,NA,trilladora bonanza - armenia quindioa,Almacafé,Colombia,1750,1750,1750,250,70 kg,Arabica,Caturra,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,0,0,2,Green,82.42
exportadora de cafe condor s.a,NA,trilladora bonanza - armenia quindioa,Almacafé,Colombia,1750,1750,1750,0,70 kg,Arabica,NA,NA,7.58,7.25,7.42,7.25,7.58,7.83,10,10,10,0.02,0,1,NA,82.42
bismarck castro,los hicaques,cigrah s.a de c.v.,Instituto Hondureño del Café,Honduras,1396,1396,1396,275,69 kg,Arabica,Caturra,Washed / Wet,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,0.1,0,8,Green,82.33
pedro santos e silva,fazenda são pedro,alfenas,Brazil Specialty Coffee Association,Brazil,982,982,982,320,2 kg,Arabica,Catuai,Natural / Dry,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,0.11,0,11,Green,82.33
gabriel barbara,NA,copag,Brazil Specialty Coffee Association,Brazil,NA,NA,NA,305,59 kg,Arabica,NA,Natural / Dry,7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,0.11,0,14,Green,82.33
ipanema coffees,capoeirinha,dry mill,Brazil Specialty Coffee Association,Brazil,934,934,934,320,60 kg,Arabica,Bourbon,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,0.11,0,3,Bluish-Green,82.33
"ceca, s.a.",gamboa,beneficio montañas del diamante,Specialty Coffee Association of Costa Rica,Costa Rica,1850,1850,1850,100,69 kg,Arabica,Caturra,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,0.1,6,3,Bluish-Green,82.33
rodrigo soto,rio jorco,rio jorco,Specialty Coffee Association of Costa Rica,Costa Rica,1550,1550,1550,130,69 kg,Arabica,Catuai,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,0,0,0,Green,82.33
yunnan coffee exchange,yun lan coffee co. ltd,yun lan coffee co. ltd mill,Yunnan Coffee Exchange,China,1580,1580,1580,3,60 kg,Arabica,Catimor,Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,0.12,0,2,Green,82.33
ipanema coffees,rio verde,ipanema coffees,Specialty Coffee Association,Brazil,1268,1268,1268,12,2 kg,Arabica,Bourbon,Natural / Dry,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,0.07,0,0,Green,82.33
bourbon specialty coffees,NA,NA,Brazil Specialty Coffee Association,Brazil,NA,NA,NA,300,60 kg,Arabica,Mundo Novo,Natural / Dry,7.42,7.5,7.5,7.42,7.5,7.58,10,10,10,0.11,0,10,Green,82.33
juan luis alvarado romero,finca loma linda y anexo,beneficio exportacafe agua santa,Asociacion Nacional Del Café,Guatemala,1676.4,1676.4,1676.4,275,69 kg,Arabica,Bourbon,Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,0.1,0,6,Green,82.33
afca,utchisi mountain,mzuzu coffee coop union,Africa Fine Coffee Association,Malawi,1450,1450,1450,10,60 kg,Arabica,Gesha,Washed / Wet,7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,0.12,0,0,Green,82.33
ipanema coffees,rio verde,ipanema coffees,Specialty Coffee Association,Brazil,1100,1100,1100,10,2 kg,Arabica,Bourbon,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,0.11,0,0,Blue-Green,82.33
juan luis alvarado romero,el morito,el morito,Asociacion Nacional Del Café,Guatemala,1524,1524,1524,250,69 kg,Arabica,Pacas,Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,0.12,0,3,Green,82.33
dane loraas,NA,NA,Specialty Coffee Association,Mexico,NA,NA,NA,320,5 lbs,Arabica,NA,Washed / Wet,7.33,7.58,7.42,7.5,7.5,7.5,10,10,10,0.11,0,0,Green,82.33
the coffee source inc.,several,antioquia,Specialty Coffee Association of Costa Rica,Colombia,1300,1300,1300,250,3 kg,Arabica,Caturra,Washed / Wet,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,0.1,0,2,Green,82.33
cqi taiwan icp cqi台灣合作夥伴,guo cun nong yuan 國村農園,guo cun nong yuan 國村農園,Blossom Valley International,Taiwan,200,200,200,10,20 kg,Arabica,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,0.11,0,0,Green,82.33
cqi taiwan icp cqi台灣合作夥伴,yu jin gui 玉金櫃咖啡,yu jin gui 玉金櫃咖啡,Blossom Valley International,Taiwan,600,600,600,10,30 kg,Arabica,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,0.11,0,0,Green,82.33
juan luis alvarado romero,el morito,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1310.64,1310.64,1310.64,250,69 kg,Arabica,Bourbon,Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,0.12,2,1,Green,82.33
exportadora de cafe condor s.a,NA,trilladora boananza,Almacafé,Colombia,1750,1750,1750,250,70 kg,Arabica,Caturra,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,0,0,1,Green,82.33
alfredo bojalil,santa teresa,amsa tuxtla,AMECAFE,Mexico,1300,1300,1300,250,1 kg,Arabica,Typica,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,0.12,0,3,Green,82.33
michael gavina,NA,NA,Specialty Coffee Association,Costa Rica,NA,NA,NA,275,1 kg,Arabica,NA,Washed / Wet,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10,0,0,14,Green,82.33
juan luis alvarado romero,finca el morito,beneficio el morito,Asociacion Nacional Del Café,Guatemala,1676.4,1828.8,1752.6,275,69 kg,Arabica,Bourbon,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,0.11,0,3,Green,82.33
saul m. hernandez ramirez,tepemalacax,en tlalnepantla,AMECAFE,Mexico,441,441,441,10,1 kg,Arabica,Typica,Natural / Dry,7.58,7.67,7.58,7.33,7,7.58,10,10,10,0.15,1,8,None,82.33
manuel herrera juarez,finca los barreales 1112lbga7250412,finca los barreales,AMECAFE,Mexico,1170,1170,1170,10,1 kg,Arabica,Bourbon,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,0.13,0,9,Green,82.33
juan luis alvarado romero,agropecuaria quiagral,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1310.64,1310.64,1310.64,250,1 kg,Arabica,Bourbon,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,0.1,2,5,Green,82.33
nucoffee,sitío santa luzia,NA,NUCOFFEE,Brazil,1100,1100,1100,16,60 kg,Arabica,Mundo Novo,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,0.12,0,2,Green,82.33
maria luisa del carmen rojas narvaez,cafetal santa maria,cafetal santa maria,AMECAFE,Mexico,1200,1400,1300,10,1 kg,Arabica,Typica,Washed / Wet,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,0.11,0,0,Green,82.33
nucoffee,café citrus,NA,NUCOFFEE,Brazil,950,950,950,44,60 kg,Arabica,Mundo Novo,Washed / Wet,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,0.11,0,2,Green,82.33
carcafe ltda ci,NA,NA,Almacafé,Colombia,442,442,442,250,70 kg,Arabica,Caturra,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,0,0,0,Green,82.33
klem organics,fazendas klem ltda,dry mill,Specialty Coffee Association,Brazil,1100,1100,1100,1062,5 kg,Arabica,Catuai,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,0.09,2,10,Green,82.25
cqi taiwan icp cqi台灣合作夥伴,眉泉莊園,台中市新社區新社里中和街4段88號,Blossom Valley International,Taiwan,NA,NA,NA,1,10 kg,Arabica,NA,NA,7,7.08,7,7.17,7,7,10,10,10,0.1,0,0,Blue-Green,82.25
juan luis alvarado romero,linda vista,beneficio humedo,Asociacion Nacional Del Café,Guatemala,1450,1450,1450,275,69 kg,Arabica,Pacas,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,0.11,0,2,Green,82.25
ipanema coffees,rio verde,ipanema comercial e exportadora sa,Brazil Specialty Coffee Association,Brazil,1,1,1,180,2 kg,Arabica,Yellow Bourbon,Natural / Dry,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,0,0,9,Green,82.25
consejo salvadoreño del café,zapato de mico,tuxpal,Salvadoran Coffee Council,El Salvador,1500,1500,1500,275,1 kg,Arabica,Bourbon,Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,0.12,0,0,Green,82.25
cadexsa,bethel,cadexsa,Instituto Hondureño del Café,Honduras,1350,1350,1350,275,1 kg,Arabica,Catuai,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,0.11,0,2,Green,82.25
afca,kachere,mzuzu coffee coop union,Africa Fine Coffee Association,Malawi,1180,1180,1180,10,60 kg,Arabica,Gesha,Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,0.13,0,0,Blue-Green,82.25
ipanema coffees,rio verde,ipanema coffees,Specialty Coffee Association,Brazil,1100,1100,1100,320,2 kg,Arabica,Bourbon,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,0.11,0,0,Green,82.25
cqi taiwan icp cqi台灣合作夥伴,guo xing ka fei wang 國姓咖啡王咖啡莊園,guo xin ka fei 國昕咖啡,Blossom Valley International,Taiwan,650,650,650,35,60 kg,Arabica,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,0.11,0,0,Green,82.25
jesus carlos cardenas valdivia,finca huehuetecpan,"cosautlan de carvajal, veracruz, méxico",AMECAFE,Mexico,1338,1338,1338,150,1 kg,Arabica,Mundo Novo,Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,0.12,0,4,Blue-Green,82.25
kona pacific farmers cooperative,NA,NA,Specialty Coffee Association,United States (Hawaii),NA,NA,NA,6,100 lbs,Arabica,Hawaiian Kona,Natural / Dry,7.33,7.42,7.5,7.67,7.5,7.42,10,10,10,0,0,1,Bluish-Green,82.25
saul m. hernandez ramirez,omicuatla,comitla,AMECAFE,Mexico,533,533,533,10,1 kg,Arabica,Bourbon,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,0.16,3,8,None,82.25
juan luis alvarado romero,finca medina,finca medina,Asociacion Nacional Del Café,Guatemala,1390.8024,1390.8024,1390.8024,275,69 kg,Arabica,Bourbon,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,0.11,0,2,Green,82.25
manuel herrera juarez,los barreales 1112lbgr7230412,finca los barreales,AMECAFE,Mexico,1170,1170,1170,10,1 kg,Arabica,Bourbon,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,0.13,0,3,Green,82.25
guillermo rojas saldana,jamaica,"finca jamaica, san gabriel mixtepec, juquila, oaxaca",AMECAFE,Mexico,1250,1250,1250,40,1 kg,Arabica,Typica,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,0.12,0,13,Green,82.25
adam kline,NA,NA,Specialty Coffee Association,El Salvador,NA,NA,NA,288,1 kg,Arabica,Other,Washed / Wet,7.75,7.33,7.33,7.5,7.5,7.5,10,10,10,0,2,5,Green,82.25
sergio de la vequia bernardi,chilcuatla,cafetalera la cuchilla,AMECAFE,Mexico,1100,1100,1100,250,1 kg,Arabica,Typica,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,0.11,0,0,Green,82.25
organizaciones de productores de cafe colimense,comunidad de canoas,productos organicos de canoas spr de rl,AMECAFE,Mexico,900,900,900,250,1 kg,Arabica,Typica,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,0.1,0,3,Green,82.25
exportadora de cafe condor s.a,NA,trilladora boananza,Almacafé,Colombia,1750,1750,1750,250,70 kg,Arabica,Caturra,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,0.12,0,1,Green,82.25
racafe & cia s.c.a,NA,NA,Almacafé,Colombia,1600,1950,1775,100,70 kg,Arabica,Caturra,Washed / Wet,7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,0.11,0,0,Green,82.25
nucoffee,caxambu,NA,NUCOFFEE,Brazil,NA,NA,NA,84,60 kg,Arabica,Arusha,Natural / Dry,7.67,7.58,7.42,7,7.5,7.58,10,10,10,0.12,0,1,Green,82.25
racafe & cia s.c.a,NA,NA,Almacafé,Colombia,NA,NA,NA,149,70 kg,Arabica,NA,NA,7.17,7.25,7.58,7.25,7.58,7.67,10,10,10,0.22,0,2,NA,82.25
ipanema coffees,fazenda capoeirnha,dry mill,Brazil Specialty Coffee Association,Brazil,934,934,934,320,60 kg,Arabica,Bourbon,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,0.11,0,5,Green,82.17
bismarck castro,las cuchillas,dry mill,Instituto Hondureño del Café,Honduras,1500,1500,1500,200,69 kg,Arabica,Caturra,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,0.11,0,2,Bluish-Green,82.17
"bencafe, s. a.",el brigadum - la coronela,dry mill,Instituto Hondureño del Café,Nicaragua,1000,1000,1000,275,69 kg,Arabica,NA,NA,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,0.1,0,1,Green,82.17
langiro farm group,langiro farm group,mbinga,Africa Fine Coffee Association,"Tanzania, United Republic Of",1500,1800,1650,30,80 kg,Arabica,Bourbon,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,0.13,1,6,Green,82.17
ibero coffee trading co (t) ltd,NA,NA,Tanzanian Coffee Board,"Tanzania, United Republic Of",1600,1600,1600,300,60 kg,Arabica,Other,Washed / Wet,7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,0.12,0,1,Green,82.17
ipanema coffees,rio verde,ipanema comercial e exportadora sa,Brazil Specialty Coffee Association,Brazil,1,1,1,320,2 kg,Arabica,Yellow Bourbon,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,0,0,1,Green,82.17
doi tung development project,NA,NA,Specialty Coffee Association,Thailand,800,800,800,1,1 kg,Arabica,NA,Washed / Wet,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,0.12,0,0,Bluish-Green,82.17
cadexsa,bethel,cadexsa,Instituto Hondureño del Café,Honduras,1350,1350,1350,275,1 kg,Arabica,Catuai,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,0.11,0,2,Green,82.17
essencecoffee,blue lake,NA,Blossom Valley International,Guatemala,1500,1500,1500,250,69 kg,Arabica,Bourbon,Washed / Wet,7.42,7.42,7.5,7.5,7.42,7.5,10,10,10,0.09,0,4,Blue-Green,82.17
